Code,Company,Sector,1Y Return %,Volatility %,Max Drawdown %,Latest Price,Market Cap (B)
4DX,4DMedical,Healthcare,1812.0,141.3,-52.8,4.78,3.32
PLS,PLS Group,Materials,340.5,65.0,-21.3,5.66,16.39
EOS,Electro Optic Systems Holdings,Industrials,301.2,108.6,-57.5,9.75,1.74
MIN,Mineral Resources,Materials,206.9,51.7,-20.9,65.86,10.41
LTR,Liontown Resources,Materials,175.4,81.0,-34.6,1.9,5.39
NWH,NRW Holdings,Industrials,152.3,35.1,-19.1,7.2,2.47
CDA,Codan,Information Technology,120.4,44.5,-26.3,43.86,5.82
ILU,Iluka Resources,Materials,119.2,62.6,-46.8,7.59,2.91
PDI,Predictive Discovery,Materials,118.4,65.3,-31.1,0.83,2.2
LYC,Lynas Rare Earths,Materials,110.7,59.6,-43.7,19.34,19.54
ALK,Alkane Resources,Materials,102.0,60.7,-26.7,1.52,2.04
RDX,Redox,Industrials,101.3,43.2,-19.6,4.02,1.76
IGO,IGO,Materials,96.3,55.7,-27.3,7.93,6.02
SGM,Sims Metal,Materials,86.9,36.1,-20.5,28.12,3.56
AAI,Alcoa,Materials,82.1,48.1,-31.5,80.08,3.92
VAU,Vault Minerals,Materials,79.4,55.1,-41.8,4.6,4.29
MND,Monadelphous Group,Industrials,78.0,31.1,-16.2,30.04,2.81
GGP,Greatland Resources,Materials,76.3,65.5,-36.9,12.87,8.65
SFR,Sandfire Resources,Materials,75.5,41.6,-30.9,19.67,7.64
RIO,Rio Tinto,Materials,72.8,27.8,-13.0,173.92,60.09
L1G,L1 Group,Financials,71.0,60.4,-26.8,1.17,2.66
BHP,BHP,Materials,69.9,28.2,-19.0,59.5,260.32
LSF,L1 Long Short Fund,Financials,67.9,27.4,-16.8,4.6,2.51
WGX,Westgold Resources,Materials,67.7,54.3,-44.2,4.89,5.68
RSG,Resolute Mining,Materials,66.1,61.7,-39.3,1.03,2.98
EVN,Evolution Mining,Materials,65.0,51.8,-38.6,12.35,26.44
CSC,Capstone Copper,Materials,59.7,55.4,-45.3,14.15,1.92
BSL,BlueScope,Materials,56.3,32.2,-19.1,32.77,11.42
NEM,Newmont,Materials,55.2,46.6,-29.9,138.6,13.53
IMD,IMDEX,Materials,54.4,43.5,-23.1,4.2,1.9
DBI,Dalrymple Bay Infrastructure,Industrials,52.0,24.3,-15.9,5.89,2.49
PRU,Perseus Mining,Materials,51.5,41.1,-28.5,5.18,7.12
DNL,Dyno Nobel,Materials,50.3,25.5,-18.5,3.84,5.64
BGL,Bellevue Gold,Materials,49.7,59.0,-38.2,1.33,2.28
WHC,Whitehaven Coal,Energy,49.7,38.3,-22.3,8.22,7.5
NHC,New Hope,Energy,48.2,36.9,-17.5,5.41,4.93
RRL,Regis Resources,Materials,46.7,54.6,-41.8,6.62,5.09
PRN,Perenti,Materials,46.6,41.2,-40.2,2.32,1.81
AZJ,Aurizon,Industrials,46.1,18.0,-6.8,4.18,6.83
NXG,Nexgen Energy,Energy,43.8,51.4,-30.4,14.87,2.36
S32,South32,Materials,42.9,37.9,-20.6,4.06,19.83
DRO,Droneshield,Industrials,42.9,109.8,-74.0,2.55,3.63
MSB,Mesoblast,Healthcare,41.6,65.0,-36.5,2.23,2.75
ALQ,ALS,Industrials,39.9,26.6,-26.0,22.93,10.63
VNT,Ventia Services Group,Industrials,37.5,25.5,-20.1,6.69,4.3
WAF,West African Resources,Materials,36.2,45.7,-29.4,3.01,3.7
FMG,Fortescue,Materials,34.4,29.3,-16.3,19.25,62.35
AMP,AMP,Financials,34.0,43.8,-38.3,1.61,3.25
OBM,Ora Banda Mining,Materials,33.9,79.0,-39.1,1.17,2.16
ALD,Ampol,Energy,33.3,27.5,-15.4,32.69,7.93
DOW,Downer Group,Industrials,33.1,21.3,-14.0,8.11,5.14
SMR,Stanmore Resources,Materials,33.1,48.5,-29.4,2.44,2.33
NIC,Nickel Industries,Materials,32.9,41.1,-17.9,0.95,3.95
IFT,Infratil,Financials,31.2,30.6,-21.7,12.39,9.42
DRR,Deterra Royalties,Materials,31.1,26.0,-16.2,4.51,2.13
APA,APA Group,Utilities,30.9,14.3,-6.7,10.44,13.05
ANZ,Australia & New Zealand Banking Group,Financials,30.3,21.2,-15.4,35.64,110.41
APE,Eagers Automotive,Consumer Discretionary,29.8,43.0,-41.2,21.58,6.69
PDN,Paladin Energy,Energy,29.5,65.7,-35.6,9.7,5.11
EMR,Emerald Resources,Materials,28.9,55.0,-42.9,5.85,3.74
CGF,Challenger,Financials,28.4,25.7,-21.5,9.85,5.71
WOW,Woolworths Group,Consumer Staples,28.3,26.2,-21.7,39.37,45.21
MFG,Magellan Financial Group,Financials,24.6,44.5,-26.9,9.71,1.77
ORI,Orica,Materials,23.9,23.5,-28.9,23.05,9.41
WDS,Woodside Energy Group,Energy,23.9,28.8,-21.1,28.24,66.41
GMD,Genesis Minerals,Materials,23.5,60.2,-43.0,5.58,6.71
QUB,Qube Holdings,Industrials,23.0,23.5,-9.8,5.1,8.76
CHC,Charter Hall,Real Estate,22.7,26.5,-27.9,23.16,8.77
CMM,Capricorn Metals,Materials,22.6,53.3,-41.1,12.68,5.0
CTD,Corporate Travel Management,Consumer Discretionary,20.7,12.2,-5.6,16.07,2.35
MFF,MFF Capital Investments,Financials,20.4,17.4,-13.2,5.02,2.7
MQG,Macquarie Group,Financials,20.3,24.4,-15.9,250.12,78.36
WLE,WAM Leaders,Financials,19.8,15.2,-6.3,1.33,1.89
